"business_name","status","trade_category","trade_tier","contact_name","email_address","phone","town","postcode","website_url","website_platform","website_agency","has_incumbent_agency","website_sub_segment","rating","review_count","years_on_checkatrade","business_type","company_type","employee_band","turnover_band","research_summary","notes"
"AJ Painting and Decorating (Amanda Johns)","Researched with website","Painter & Decorator","Tier 2",,"info@amandajohns-painting.co.uk","07711902071","Taunton","TA1 2HR","https://www.amandajohnspaintinganddecoratingservice.com/","Unknown",,"0","Unknown","5","16",,"Unknown","ltd",,,"Based on my research, here's a focused brief on AJ Painting and Decorating (Amanda Johns):

Amanda Johns Painting & Decorating Services is a friendly, professional company of painters and decorators based in Taunton that has been providing customers with high-quality finishes for over seven years. Customer reviews consistently highlight exceptional service delivery, with clients praising Amanda's work ethic, willingness to go above and beyond (including helping reassemble furniture), and reliability, prompting repeat bookings and strong recommendations. The business maintains a 100% recommend rating on Facebook with positive customer reviews. The most compelling reason for a professional website is to capture local demand: currently Amanda relies heavily on third-party directories (TrustATrader, Facebook, MyBuilder) and cannot directly showcase her portfolio, collect leads independently, or control her online narrative—a dedicated website would allow her to display before-and-after project photos, manage pricing transparency, and redirect the customer inquiry funnel away from platform fees.","Google Maps: https://www.google.com/maps/search/?api=1&query=AJ%20Painting%20and%20Decorating%20(Amanda%20Johns)&query_place_id=ChIJMzURRPP1bUgRFqUUwsCpcPw"
"AMG Carpentry & kitchens","Researched with website","Carpenter / Joiner",,,"amgcarpentry@outlook.com","07920098986","https://www.bing.com/maps/default.aspx?v=2&pc=FACEBK&mid=8100&FORM=FBKPL1&mkt=en-US",,"https://www.amgcarpentryandkitchens.co.uk/","Unknown","spf.stackmail","1","Agency-managed",,"0",,"Unknown","ltd",,,"I appreciate your interest, but I'm unable to complete this research task. The URL you've provided is a generic Bing Maps default page rather than a specific business location, so I can't identify which particular AMG Carpentry & Kitchens location you're referring to. 

To help you effectively, I would need:
- The specific city/location of the business
- Or a direct link to their Google Business profile, Facebook page, or current website

Once you provide the specific location details, I can search for information about their services, trading history, reviews, and online presence to write that research brief.","Facebook: https://www.facebook.com/amgcarpentry83/"
"AP Plastering","Researched with website","Plasterer","Tier 2",,"applaster@hotmail.com","07543901356",,,"https://applastering.co.uk/","Unknown",,"0","Unknown","100","0",,"Unknown","ltd",,,"I'd be happy to help research AP Plastering, but I notice the location information is missing from your request. Could you please provide the city and country/region where AP Plastering is based? This will help me find the correct business and provide accurate information about them.","Facebook: https://www.facebook.com/applastering12/
Rating: 100"
"ARC Plumbing | Cheltenham","Researched with website","Plumber","Tier 3",,"arcplumbinguk@gmail.com","07764890046","Cheltenham","GL53 0LF","https://arcplumbing.co.uk","Unknown","emailsrvr.com","1","Agency-managed",,"0",,"Unknown","ltd",,,"I cannot find specific information about ""ARC Plumbing"" based in Cheltenham, GL53 0LF, UK in the search results. The search returned results for ARC Plumbing companies in North Carolina (USA), Australia, and general guidance on Google Business Profiles for plumbers, but no direct information about the specific UK-based business you requested. I found one reference to ""Arc Construction (Cheltenham) Ltd"" with a GL53 postcode address, but this appears to be a construction company rather than a plumbing business.

Without being able to locate verified information about this specific plumbing business—including their services, trading history, online reviews, or owner details—I cannot produce the research brief as requested.","Facebook: https://www.facebook.com/people/ARC-Plumbing/61586761478965/"
"Ace Comfort Cooling Ltd","Researched with website","Plumber",,"Mr James Price","james@acecc.co.uk",,"Stroud","GL6 7DA","https://acecc.co.uk","Unknown","eu-sender.zohobooks","1","Agency-managed",,,,"Corporate - Ltd","ltd","1-5","< £100k","---

RESEARCH BRIEF: ACE COMFORT COOLING LTD

Ace Comfort Cooling Ltd is a privately limited company incorporated on 31 October 2007, making them an 18-year-old, well-established operation. The company is a full-service AC provider that installs and maintains efficient air conditioning units and systems for homes and businesses in the South West of England, based in Stroud, Gloucestershire. Reviews consistently highlight their professionalism and responsiveness as clearly better than rivals, with customers praising their quick response to website queries and direct contact via phone, email and text throughout the process. The most compelling case for a professional website is that while their existing site (acecc.co.uk) exists, competitor visibility and lead capture could be dramatically improved through modernised design, optimised booking system integration, and structured reviews management—currently their Cylex profile shows no reviews collected despite strong Google testimonials, representing significant lead leakage in an increasingly search-driven local market.",
"All Trade Property Services Limited","Researched with website","Builder",,"Mr Gareth Archer","archer@all-trade.co.uk",,"Bristol","BS7 9JR","https://www.alltrade.co.uk","Unknown","spf.protection","1","Agency-managed",,,,"Corporate - Ltd","ltd","1-5","< £100k","RESEARCH BRIEF: All Trade Property Services Limited

All Trade Property Services is an established and experienced maintenance, construction, renovation and repair company specialising in providing all the trades and services required for homeowners and landlords, with a comprehensive service portfolio spanning bathroom design and installation, electrical installation, plumbing and heating, roofing, extensions and new builds, and numerous other trades. The company has been building and maintaining properties since 2004, growing from a one-man operation into a team with maintenance contracts across Bristol. Their online presence shows strong customer satisfaction—reviewers highlight their ""one-stop-shop"" value with clients praising responsive office staff like Sharif and punctual technicians like Wayne and Mo. The most compelling case for a professional website is evident in their fragmented digital footprint: while they have an active website, their reviews are scattered across multiple platforms (Arrivala, Construction.co.uk, Checkatrade, Yell) where some profiles have zero reviews or are unclaimed, creating inconsistency that undermines their established 20+ year reputation and ability to capture leads from customers searching for multi-trade builders in the Southwest region.",
"Avalon Roofing | Warminster","Researched with website","Roofer",,,"owen.avalon@hotmail.com","07843538864","Warminster","BA12 6DD","https://avalonroofing.co.uk/","Unknown","ukc-smtp.co","1","Agency-managed",,"0",,"Unknown","ltd",,,"Based on my research, I can now provide you with a focused brief on Avalon Roofing | Warminster:

---

Avalon Roofing is a family run roofing contractor serving Wiltshire, Dorset and Somerset, offering residential and commercial roofing solutions across the South West. The business maintains an active Facebook presence with 341 likes and an 88% recommendation rate based on 8 reviews, indicating solid local engagement. The most compelling reason they'd benefit from a professional website is the current heavy reliance on phone contact (0784 3538864) and Facebook as their primary customer discovery channels—a limiting approach when many local homeowners searching ""roofer near Warminster"" or ""roof repairs BA12"" would expect to find a dedicated site with project galleries, detailed service offerings, customer testimonials, and online quote requests, especially given the competitive roofing market in their region where competitors like CH Roofing and LH Roofing have established web presences.

---","Facebook: https://www.facebook.com/avalon.roofing/
Rating: 88"
"B&F Construction Ltd","Researched with website","Builder",,,"ContactUs@bf-construction.co.uk","07498955069","Salisbury",,"https://bf-construction.co.uk/","Unknown","spf.em","1","Agency-managed",,"24",,,"ltd",,,"B&F CONSTRUCTION LTD - RESEARCH BRIEF

B&F Construction provides construction, landscaping, plastering, fencing, groundwork, plumbing, carpentry, painting & decorating, and general maintenance for domestic and commercial clients. The company has over 30+ years of working experience in and around Wiltshire, though their current registered entity was incorporated on 22 November 2022. Online reviews highlight excellent communication, high-quality workmanship, reliability, quick response, cleanliness, and efficiency in handling various construction and repair tasks, with a 100% recommendation rating on Facebook from 7 reviews. The most compelling reason for a professional website upgrade is the disconnect between their strong reputation and fragmented online presence: they currently rely on third-party directories, an outdated website, and scattered social media posts to demonstrate their portfolio and 30+ years of expertise, meaning a dedicated showcase of completed projects and client testimonials would directly convert their word-of-mouth reputation into measurable inquiry and lead generation.","Imported from Google Maps test run dataset_merge-dedup-transform-datasets-task-google-places_2026-04-06_09-53-23-420.json"
"Bespoke Installations SW Limited","Researched with website","Electrician",,"Mr Michael Blake","michael@bespoke.biz",,"Tiverton","EX16 4PN","https://www.bespokeinstallations.com","Parked",,"0","Unknown",,,,"Corporate - Ltd","ltd","1-5","< £100k","Bespoke Installations SW Limited specializes in smart home technology installation across the South West and London, with over 23 years of experience, though they also offer home cinema, rural broadband, WiFi, and smart audio, lighting, and heating services. The company has been trading as a private limited entity since September 2008, though their founder's hands-on experience dates back further. The most notable signal from their online presence is a significant credibility gap: they have zero reviews across multiple business directories, and invitation prompts asking customers to be the first to review them appear repeatedly, despite having a functional website and active social media. Their most compelling need for a professional website upgrade is lead conversion and credibility—their current site lacks visible testimonials, client case studies, or trust signals that would persuade affluent homeowners investing in high-end smart home systems to choose them over competitors with established review records, making a case study-rich, testimonial-driven redesign essential to converting their niche market advantage into new business.",
"Bikini Bathrooms Ltd","Researched with website","Bathroom Fitter",,,"info@bikinibathrooms.co.uk","01452387178","Gloucester","GL1 1AJ","https://bikinibathrooms.co.uk/","Unknown","spf.myukcloud","1","Agency-managed",,"61",,,"ltd",,,"Bikini Bathrooms Ltd provides comprehensive bathroom and kitchen supply, design, and installation services across Gloucestershire, with over 30 years of trading experience spanning three generations. The company maintains strong customer satisfaction with a Google rating of 4.2 out of 5 stars from 52 reviews, with customer feedback highlighting that they are ""head and shoulders above the rest"" for not pressuring unnecessary spending and listening carefully to requirements. As a small family business competing against larger retailers, Bikini differentiates itself through consistent service quality, employing skilled in-house installers with direct fitting experience who understand both the installation and sales sides of the business. The most compelling reason they'd benefit from a professional website is their heavy reliance on showroom visits and word-of-mouth despite competitive pressure; a dynamic, portfolio-driven website showcasing before-and-afters, detailed accessibility features (including specialist wetroom installations), and customer testimonials would extend their reach beyond the four-mile catchment area currently limiting their visibility to customers outside their immediate Gloucester and Monmouth locations.","Imported from Google Maps test run dataset_merge-dedup-transform-datasets-task-google-places_2026-04-06_09-53-23-420.json"
